SN,title,DOI,domain,year,authors,author_regions,abstract,keywords,cited_by_count,is_oa,oa_status,oa_url,openalex_countries,openalex_authors,umap_x,umap_y,umap_x_mpnet,umap_y_mpnet,umap_x_minilm,umap_y_minilm,umap_x_specter,umap_y_specter,umap_x3,umap_y3,umap_z3,umap_x3_mpnet,umap_y3_mpnet,umap_z3_mpnet,umap_x3_minilm,umap_y3_minilm,umap_z3_minilm,umap_x3_specter,umap_y3_specter,umap_z3_specter,cluster,cluster_label
12,Bias in data-driven artificial intelligence systems—An introductory survey,doi.org/10.48550/arXiv.2001.09762,General Fairness & Bias Mitigation,2019,Eirini Ntoutsi; Pavlos Fafalios; Ujwal Gadiraju; Vasileios Iosifidis; Wolfgang Nejdl; María-Esther Vidal; Salvatore Ruggieri; Franco Turini; Symeon Papadopoulos; Emmanouil Krasanakis; Ioannis Kompatsiaris; Katharina Kinder-Kurlanda; Claudia Wagner; Fariba Karimi; Miriam Fernández; Harith Alani; Bettina Berendt; Tina Kruegel; Christian Heinze; Klaus Broelemann; Gjergji Kasneci; Thanassis Tiropanis; Steffen Staab,Germany; Greece; Netherlands; Germany; Germany; Germany; Italy; Italy; Greece; Greece; Greece; Austria; Germany; Austria; Chile; UK; Belgium; Germany; Germany; Germany; Germany; UK; Germany,"AI-based systems are widely employed nowadays to make decisions that have far-reaching impacts on individuals and society. Their decisions might affect everyone, everywhere and anytime, entailing concerns about potential human rights issues. Therefore, it is necessary to move beyond traditional AI algorithms optimized for predictive performance and embed ethical and legal principles in their design, training and deployment to ensure social good while still benefiting from the huge potential of the AI technology. The goal of this survey is to provide a broad multi-disciplinary overview of the area of bias in AI systems, focusing on technical challenges and solutions as well as to suggest new research directions towards approaches well-grounded in a legal frame. In this survey, we focus on data-driven AI, as a large part of AI is powered nowadays by (big) data and powerful Machine Learning (ML) algorithms. If otherwise not specified, we use the general term bias to describe problems related to the gathering or processing of data that might result in prejudiced decisions on the bases of demographic features like race, sex, etc.",Software deployment; Computer science; Big data; Data science; Artificial intelligence; Frame (networking); Focus (optics); Race (biology); Discipline; Ethical issues; Term (time); Management science; Engineering ethics; Political science; Engineering; Sociology; Data mining; Law; Software engineering,21,TRUE,green,https://arxiv.org/pdf/2001.09762,Germany; Germany; Germany; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,Eirini Ntoutsi; Pavlos Fafalios; Ujwal Gadiraju; Vasileios Iosifidis; Wolfgang Nejdl; María-Esther Vidal; Salvatore Ruggieri; Franco Turini; Symeon Papadopoulos; Emmanouil Krasanakis; Ioannis Kompatsiaris; Katharina Kinder‐Kurlanda; Claudia Wagner; Fariba Karimi; Miriam Fernández; Harith Alani; Bettina Berendt; Tina Kruegel; Christian Heinze; Klaus Broelemann; Gjergji Kasneci; Thanassis Tiropanis; Steffen Staab,6.24426,10.65499,6.24426,10.65499,5.85705,1.22558,6.45518,6.14367,8.87551,-1.01488,1.9294,8.87551,-1.01488,1.9294,4.05692,-1.07834,1.54075,6.29789,2.15305,4.42011,5,Psychology · Mathematics
13,Are AI systems biased against the poor? A machine learning analysis using Word2Vec and GloVe embeddings,doi.org/10.1007/s00146-022-01494-z,LLMs & NLP,2022,Georgina Curto; Mario Jojoa; Flávio Comim; Begonya García-Zapirain,Spain; Spain; Spain; Spain,"Among the myriad of technical approaches and abstract guidelines proposed to the topic of AI bias, there has been an urgent call to translate the principle of fairness into the operational AI reality with the involvement of social sciences specialists to analyse the context of specific types of bias, since there is not a generalizable solution. This article offers an interdisciplinary contribution to the topic of AI and societal bias, in particular against the poor, providing a conceptual framework of the issue and a tailor-made model from which meaningful data are obtained using Natural Language Processing word vectors in pretrained Google Word2Vec, Twitter and Wikipedia GloVe word embeddings. The results of the study offer the first set of data that evidences the existence of bias against the poor and suggest that Google Word2vec shows a higher degree of bias when the terms are related to beliefs, whereas bias is higher in Twitter GloVe when the terms express behaviour. This article contributes to the body of work on bias, both from and AI and a social sciences perspective, by providing evidence of a transversal aggravating factor for historical types of discrimination. The evidence of bias against the poor also has important consequences in terms of human development, since it often leads to discrimination, which constitutes an obstacle for the effectiveness of poverty reduction policies.",Word2vec; Computer science; Obstacle; Context (archaeology); Perspective (graphical); Data science; Artificial intelligence; Cognitive psychology; Psychology,52,TRUE,hybrid,https://link.springer.com/content/pdf/10.1007/s00146-022-01494-z.pdf,Spain; Spain; Spain; Spain,Georgina Curto; Mario Jojoa; Flávio Comim; Begonya García-Zapirain,6.30994,7.99744,6.30994,7.99744,7.51199,3.15614,6.1423,3.56088,10.36251,-3.09737,3.98563,10.36251,-3.09737,3.98563,5.3456,0.18913,0.06695,5.88323,-1.28205,3.55912,4,Psychology · Natural language processing
14,Sources of bias in artificial intelligence that perpetuate healthcare disparities—A global review,doi.org/10.1371/journal.pdig.0000022,Health & Clinical AI,2022,Leo Anthony Celi; Jacqueline Cellini; Marie-Laure Charpignon; Edward Christopher Dee; Franck Dernoncourt; René Eber; William Mitchell; Lama Moukheiber; Julian Schirmer; Julia Situ; Joseph Alexander Paguio; Joel Park; Judy Gichoya Wawira; Seth Yao,USA; USA; USA; USA; USA; France; USA; USA; France; USA; USA; USA; USA; USA,"U.S. and Chinese datasets and authors were disproportionately overrepresented in clinical AI, and almost all of the top 10 databases and author nationalities were from high income countries (HICs). AI techniques were most commonly employed for image-rich specialties, and authors were predominantly male, with non-clinical backgrounds. Development of technological infrastructure in data-poor regions, and diligence in external validation and model re-calibration prior to clinical implementation in the short-term, are crucial in ensuring clinical AI is meaningful for broader populations, and to avoid perpetuating global health inequity.",Déjà vu; Psychology; Cognitive psychology,0,FALSE,closed,,,Gilles Costaz,2.16355,9.65137,2.16355,9.65137,2.8525,2.21705,2.24567,5.93649,10.31822,2.30794,3.94615,10.31822,2.30794,3.94615,1.82375,0.26688,3.69053,3.44009,3.54465,4.40881,2,Health care · Medicine
15,Analysis of Countries in Terms of Artificial Intelligence Technologies: PROMETHEE and GAIA Method Approach,doi.org/10.3390/su15054604,General Fairness & Bias Mitigation,2022,Gökhan Özkaya; Ayşe Demirhan,Turkey; Turkey,"Artificial intelligence development and research leaders in business, industry, and nations gain a major competitive edge. Additionally, it is clear that nations with a well-established national artificial intelligence policy have an edge over others, both technologically and economically. To further their artificial intelligence capability, nations also seek to develop a strategy, vision, structure, and working environment that encourages collaboration between the public sector, private industry, and educational institutions. Artificial intelligence is thought to be a tool that will help bridge the gap between powerful and developing countries growing in the future. Using data from “The Global AI Index” for 2021, this study aims to examine and analyze the present state of artificial intelligence management in 62 nations in terms of talent, infrastructure, business environment, development and research government policy, and commercial efforts. The research used PROMETHEE, which is widely used in multi-criteria decision-making evaluations, and its geometric representation, the GAIA plane. This study also found that the United States of America is the world leader in artificial intelligence (AI) research and development as well as AI investment. The United Kingdom, China, Israel, Canada, the Netherlands, South Korea, and Germany all rank well. China is rapidly catching up to the USA. At the very bottom of the list are nations such as Armenia, Kenya, Egypt, South Africa, and Pakistan. Turkey’s values are more similar to those of nations towards the bottom of the list than of those in the top half. There is a significant gap between the top three countries and the rest of the world in all parameters included in the survey. Except for the ‘State Strategy’ category, Turkey scores quite low compared to the top-performing countries. Decision makers are expected to address the identified global challenges of the study by creating a more comprehensive national AI strategy, both financially and in terms of content.",Government (linguistics); China; Competitive intelligence; Private sector; Investment (military); Index (typography); Economic growth; Business; Artificial intelligence; Engineering; Political science; Marketing; Economics; Computer science; Politics,23,TRUE,gold,https://www.mdpi.com/2071-1050/15/5/4604/pdf?version=1677924429,Turkey; Turkey,Gökhan Özkaya; Ayşe Demi̇rhan,4.79888,10.57955,4.79888,10.57955,4.65613,1.1527,6.35204,6.09596,8.79201,0.1869,2.67461,8.79201,0.1869,2.67461,3.06276,-1.11181,2.03961,6.32903,2.16206,4.44933,5,Psychology · Mathematics
16,Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review,doi.org/10.2196/36388,Health & Clinical AI,2022,Jonathan Huang; Galal Galal; Mozziyar Etemadi; Mahesh Vaidyanathan,USA; USA; USA; USA,"BACKGROUND: Racial bias is a key concern regarding the development, validation, and implementation of machine learning (ML) models in clinical settings. Despite the potential of bias to propagate health disparities, racial bias in clinical ML has yet to be thoroughly examined and best practices for bias mitigation remain unclear. OBJECTIVE: Our objective was to perform a scoping review to characterize the methods by which the racial bias of ML has been assessed and describe strategies that may be used to enhance algorithmic fairness in clinical ML. METHODS: A scoping review was conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) Extension for Scoping Reviews. A literature search using PubMed, Scopus, and Embase databases, as well as Google Scholar, identified 635 records, of which 12 studies were included. RESULTS: Applications of ML were varied and involved diagnosis, outcome prediction, and clinical score prediction performed on data sets including images, diagnostic studies, clinical text, and clinical variables. Of the 12 studies, 1 (8%) described a model in routine clinical use, 2 (17%) examined prospectively validated clinical models, and the remaining 9 (75%) described internally validated models. In addition, 8 (67%) studies concluded that racial bias was present, 2 (17%) concluded that it was not, and 2 (17%) assessed the implementation of bias mitigation strategies without comparison to a baseline model. Fairness metrics used to assess algorithmic racial bias were inconsistent. The most commonly observed metrics were equal opportunity difference (5/12, 42%), accuracy (4/12, 25%), and disparate impact (2/12, 17%). All 8 (67%) studies that implemented methods for mitigation of racial bias successfully increased fairness, as measured by the authors' chosen metrics. Preprocessing methods of bias mitigation were most commonly used across all studies that implemented them. CONCLUSIONS: The broad scope of medical ML applications and potential patient harms demand an increased emphasis on evaluation and mitigation of racial bias in clinical ML. However, the adoption of algorithmic fairness principles in medicine remains inconsistent and is limited by poor data availability and ML model reporting. We recommend that researchers and journal editors emphasize standardized reporting and data availability in medical ML studies to improve transparency and facilitate evaluation for racial bias.",Scopus; Machine learning; Artificial intelligence; MEDLINE; Computer science; Systematic review; Publication bias; Meta-analysis; Selection bias; Medicine; Data science; Pathology,180,TRUE,gold,https://jmir.org/api/download?alt_name=medinform_v10i5e36388_app1.pdf&filename=913eebeab355f3bafc031318200c7560.pdf,USA; USA; USA; USA,Jonathan Huang; Galal Galal; Mozziyar Etemadi; Mahesh Vaidyanathan,1.08486,10.17306,1.08486,10.17306,2.71497,1.31518,2.538,6.5368,10.97284,2.85189,3.55794,10.97284,2.85189,3.55794,1.51307,-0.14486,4.1986,3.28808,3.02177,4.87257,2,Health care · Medicine
17,Towards Debiasing Sentence Representations,doi.org/10.48550/arXiv.2007.08100,LLMs & NLP,2020,Paul Pu Liang; Irene Mengze Li; Emily Zheng; Yao Chong Lim; Ruslan Salakhutdinov; Louis-Philippe Morency,USA; USA; USA; USA; USA; USA,"As natural language processing methods are increasingly deployed in real-world scenarios such as healthcare, legal systems, and social science, it becomes necessary to recognize the role they potentially play in shaping social biases and stereotypes. Previous work has revealed the presence of social biases in widely used word embeddings involving gender, race, religion, and other social constructs. While some methods were proposed to debias these word-level embeddings, there is a need to perform debiasing at the sentence-level given the recent shift towards new contextualized sentence representations such as ELMo and BERT. In this paper, we investigate the presence of social biases in sentence-level representations and propose a new method, Sent-Debias, to reduce these biases. We show that Sent-Debias is effective in removing biases, and at the same time, preserves performance on sentence-level downstream tasks such as sentiment analysis, linguistic acceptability, and natural language understanding. We hope that our work will inspire future research on characterizing and removing social biases from widely adopted sentence representations for fairer NLP.",Debiasing; Sentence; Computer science; Natural language processing; Word (group theory); Artificial intelligence; Noun; Natural (archaeology); Cognitive psychology; Psychology; Linguistics; Social psychology,7,TRUE,green,https://arxiv.org/pdf/2007.08100,USA; ; ; USA; USA; USA,Paul Pu Liang; Irene Li; Emily Zheng; Yao Chong Lim; Ruslan Salakhutdinov; Louis‐Philippe Morency,6.37255,7.39712,6.37255,7.39712,7.60296,3.27282,6.26086,3.34867,10.40409,-3.39957,4.45635,10.40409,-3.39957,4.45635,5.3943,0.26496,0.09661,5.98218,-1.34022,3.4933,4,Psychology · Natural language processing
18,Algorithmic Bias in Autonomous Systems,doi.org/10.24963/ijcai.2017/654,General Fairness & Bias Mitigation,2017,David Danks; Alex John London,USA; USA,"Algorithms play a key role in the functioning of autonomous systems, and so concerns have periodically been raised about the possibility of algorithmic bias. However, debates in this area have been hampered by different meanings and uses of the term, ""bias."" It is sometimes used as a purely descriptive term, sometimes as a pejorative term, and such variations can promote confusion and hamper discussions about when and how to respond to algorithmic bias. In this paper, we first provide a taxonomy of different types and sources of algorithmic bias, with a focus on their different impacts on the proper functioning of autonomous systems. We then use this taxonomy to distinguish between algorithmic biases that are neutral or unobjectionable, and those that are problematic in some way and require a response. In some cases, there are technological or algorithmic adjustments that developers can use to compensate for problematic bias. In other cases, however, responses require adjustments by the agent, whether human or autonomous system, who uses the results of the algorithm. There is no ""one size fits all"" solution to algorithmic bias.",Pejorative; Computer science; Focus (optics); Term (time); Confusion; Taxonomy (biology); Artificial intelligence; Data science; Key (lock); Machine learning; Psychology; Computer security,440,TRUE,gold,https://www.ijcai.org/proceedings/2017/0654.pdf,USA; USA,David Danks; Alex John London,6.08742,10.60853,6.08742,10.60853,5.27378,0.25829,6.12442,6.28859,8.73936,-0.69992,2.31089,8.73936,-0.69992,2.31089,3.61789,-1.70626,2.33478,6.55176,1.81411,4.63219,5,Psychology · Mathematics
19,Meritocratic Fairness for Infinite and Contextual Bandits,doi.org/10.1145/3278721.3278764,General Fairness & Bias Mitigation,2018,Matthew Joseph; Michael Kearns; Jamie Morgenstern; Seth Neel; Aaron Roth,USA; USA; USA; USA; USA,"We study fairness in linear bandit problems. Starting from the notion of meritocratic fairness introduced in~\citeJKMR16, we carry out a more refined analysis of a more general problem, achieving better performance guarantees with fewer modelling assumptions on the number and structure of available choices as well as the number selected. We also analyze the previously-unstudied question of fairness in infinite linear bandit problems, obtaining instance-dependent regret upper bounds as well as lower bounds demonstrating that this instance-dependence is necessary. The result is a framework for meritocratic fairness in an online linear setting that is substantially more powerful, general, and realistic than the current state of the art.",Meritocracy; Regret; Computer science; Mathematical optimization; Upper and lower bounds; Mathematical economics; Mathematics; Machine learning; Economics,21,FALSE,closed,,USA; USA; USA; USA; USA,Matthew Joseph; Michael Kearns; Jamie Morgenstern; Seth Neel; Aaron Roth,8.25922,11.2918,8.25922,11.2918,7.1865,-0.44195,12.18398,5.71031,7.66182,-1.34946,1.18544,7.66182,-1.34946,1.18544,5.37759,-1.68461,2.45409,11.10807,-0.70755,3.25518,5,Psychology · Mathematics
20,Trustworthy AI: A Computational Perspective,doi.org/10.48550/arXiv.2107.06641,General Fairness & Bias Mitigation,2022,Haochen Liu; Yiqi Wang; Wenqi Fan; Xiaorui Liu; Yaxin Li; Shaili Jain; Yunhao Liu; Anil K. Jain; Jiliang Tang,USA; USA; Hong Kong; USA; USA; USA; China; USA; USA,"In the past few decades, artificial intelligence (AI) technology has experienced swift developments, changing everyone's daily life and profoundly altering the course of human society. The intention of developing AI is to benefit humans, by reducing human labor, bringing everyday convenience to human lives, and promoting social good. However, recent research and AI applications show that AI can cause unintentional harm to humans, such as making unreliable decisions in safety-critical scenarios or undermining fairness by inadvertently discriminating against one group. Thus, trustworthy AI has attracted immense attention recently, which requires careful consideration to avoid the adverse effects that AI may bring to humans, so that humans can fully trust and live in harmony with AI technologies. Recent years have witnessed a tremendous amount of research on trustworthy AI. In this survey, we present a comprehensive survey of trustworthy AI from a computational perspective, to help readers understand the latest technologies for achieving trustworthy AI. Trustworthy AI is a large and complex area, involving various dimensions. In this work, we focus on six of the most crucial dimensions in achieving trustworthy AI: (i) Safety &amp; Robustness, (ii) Non-discrimination &amp; Fairness, (iii) Explainability, (iv) Privacy, (v) Accountability &amp; Auditability, and (vi) Environmental Well-Being. For each dimension, we review the recent related technologies according to a taxonomy and summarize their applications in real-world systems. We also discuss the accordant and conflicting interactions among different dimensions and discuss potential aspects for trustworthy AI to investigate in the future.",Trustworthiness; Harm; Computer science; Accountability; Emerging technologies; Data science; Everyday life; Internet privacy; Artificial intelligence; Computer security; Knowledge management; Engineering ethics; Psychology; Political science; Social psychology; Engineering,2,TRUE,green,https://arxiv.org/pdf/2107.06641,; ; ; ; ; ; ; ;,Haochen Liu; Yiqi Wang; Wenqi Fan; Xiaorui Liu; Yaxin Li; Shaili Jain; Yunhao Liu; Anil K. Jain; Jiliang Tang,6.12309,10.64118,6.12309,10.64118,10.6194,3.572,6.22147,6.38342,8.84562,-1.03891,1.97779,8.84562,-1.03891,1.97779,6.491,3.27752,2.05656,6.46618,2.1529,4.76678,5,Psychology · Mathematics
21,A Survey on Datasets for Fairness-Aware ML,doi.org/10.48550/arXiv.2110.00530,General Fairness & Bias Mitigation,2021,Tai Le Quy; Arjun Roy; Vasileios Iosifidis; Wenbin Zhang; Eirini Ntoutsi,Germany; Germany; Germany; USA; Germany,"As decision-making increasingly relies on Machine Learning (ML) and (big) data, the issue of fairness in data-driven Artificial Intelligence (AI) systems is receiving increasing attention from both research and industry. A large variety of fairness-aware machine learning solutions have been proposed which involve fairness-related interventions in the data, learning algorithms and/or model outputs. However, a vital part of proposing new approaches is evaluating them empirically on benchmark datasets that represent realistic and diverse settings. Therefore, in this paper, we overview real-world datasets used for fairness-aware machine learning. We focus on tabular data as the most common data representation for fairness-aware machine learning. We start our analysis by identifying relationships between the different attributes, particularly w.r.t. protected attributes and class attribute, using a Bayesian network. For a deeper understanding of bias in the datasets, we investigate the interesting relationships using exploratory analysis.",Benchmark (surveying); Variety (cybernetics); Focus (optics); Class (philosophy); Representation (politics); Bayesian probability; Learning classifier system; External Data Representation; Bayesian inference,12,TRUE,green,https://doi.org/10.48550/arxiv.2110.00530,; ; ; ;,"Quy, Tai Le; Roy, Arjun; Iosifidis, Vasileios; Zhang, Wenbin; Ntoutsi, Eirini",7.49739,10.76147,7.49739,10.76147,6.88113,1.05547,5.81856,8.78375,8.11908,-1.92163,1.4936,8.11908,-1.92163,1.4936,5.01609,-1.55624,1.53306,7.4792,2.53432,7.48385,5,Psychology · Mathematics
22,A Comprehensive Empirical Study of Bias Mitigation Methods for Machine Learning Classifiers,doi.org/10.48550/arXiv.2207.03277,General Fairness & Bias Mitigation,2023,Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman,UK; UK; UK; UK,"Software bias is an increasingly important operational concern for software engineers. We present a large-scale, comprehensive empirical study of 17 representative bias mitigation methods for Machine Learning (ML) classifiers, evaluated with 11 ML performance metrics (e.g., accuracy), 4 fairness metrics, and 20 types of fairness-performance trade-off assessment, applied to 8 widely-adopted software decision tasks. The empirical coverage is much more comprehensive, covering the largest numbers of bias mitigation methods, evaluation metrics, and fairness-performance trade-off measures compared to previous work on this important software property. We find that (1) the bias mitigation methods significantly decrease ML performance in 53% of the studied scenarios (ranging between 42%~66% according to different ML performance metrics); (2) the bias mitigation methods significantly improve fairness measured by the 4 used metrics in 46% of all the scenarios (ranging between 24%~59% according to different fairness metrics); (3) the bias mitigation methods even lead to decrease in both fairness and ML performance in 25% of the scenarios; (4) the effectiveness of the bias mitigation methods depends on tasks, models, the choice of protected attributes, and the set of metrics used to assess fairness and ML performance; (5) there is no bias mitigation method that can achieve the best trade-off in all the scenarios. The best method that we find outperforms other methods in 30% of the scenarios. Researchers and practitioners need to choose the bias mitigation method best suited to their intended application scenario(s).",Computer science; Machine learning; Software; Empirical research; Set (abstract data type); Artificial intelligence; Fairness measure; Data mining; Statistics; Mathematics,13,TRUE,green,https://arxiv.org/pdf/2207.03277,; ; ;,Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman,7.2532,10.19094,7.2532,10.19094,6.72501,0.55302,7.26634,7.53283,7.86274,-1.63231,2.05513,7.86274,-1.63231,2.05513,5.0334,-2.35407,1.35582,7.92305,1.29309,6.48087,5,Psychology · Mathematics
